st_line,st_name,st_lat,st_lng,st_count
2호선,잠실새내역,37.5116263587296,127.086314327913,1
2호선,영등포구청역,37.52502984472145,126.8959997468245,2
2호선,용두역,37.5740621283646,127.038275698211,1
2호선,구의역,37.5371752725594,127.086180837795,1
2호선,을지로입구역,37.5660373193635,126.982193047079,1
2호선,충정로역,37.56009553337921,126.96376642759867,2
2호선,서초역,37.4918499338918,127.007662120039,1
2호선,봉천역,37.4824725161034,126.941686527151,1
2호선,왕십리역,37.56150147025363,127.037887844355,4
2호선,잠실나루역,37.5207124124456,127.103808749487,1
2호선,건대입구역,37.540638509416695,127.0701536008995,2
2호선,용답역,37.5621245777796,127.050891808569,1
2호선,강남역,37.497431283086755,127.0280927603325,2
2호선,홍대입구역,37.5572085009317,126.92596931053167,3
2호선,사당역,37.47707581870955,126.981628551993,2
2호선,강변역,37.5351180385975,127.094741101863,1
2호선,방배역,37.4814561268152,126.997553345516,1
2호선,상왕십리역,37.564438467635,127.029274674797,1
2호선,을지로3가역,37.5663609312826,126.991800526738,2
2호선,을지로4가역,37.56710181748045,126.99783805338001,2
2호선,잠실역,37.51381251059615,127.1017496413555,2
2호선,삼성역,37.5088227390184,127.063025473533,1
3호선,주엽역,37.6701494878278,126.761263524195,1
3호선,불광역,37.6100477979795,126.930315826401,2
3호선,옥수역,37.5410399909385,127.0180703022625,2
3호선,고속터미널역,37.5046404710228,127.00478624418979,3
3호선,남부터미널역,37.4851996335293,127.01620028391,1
3호선,홍제역,37.5887953806088,126.944158007985,1
3호선,경찰병원역,37.4960049150853,127.124482397777,1
3호선,지축역,37.6481486423031,126.913854269202,1
3호선,독립문역,37.5744680817828,126.957915974354,1
3호선,경복궁역,37.5758061234865,126.973691352767,1
3호선,신사역,37.5164350739218,127.020310824772,1
3호선,화정역,37.6346440058753,126.832688422366,1
3호선,마두역,37.6522411365818,126.777611729721,1
3호선,무악재역,37.5825632263526,126.950230954136,1
3호선,삼송역,37.6530749531282,126.895671839107,1
3호선,약수역,37.5542153110805,127.0105226870945,2
